,date,open,high,low,close,volume,stock_name,%_change,change,year,quarter,month
1598,2022-11-10,53600,54000,52000,53000,1558000,VIC,-1.3,-700.0,2022,4,11
1599,2022-11-11,53000,54800,52500,54300,938500,VIC,2.45,1300.0,2022,4,11
1600,2022-11-14,54200,55500,53100,55000,1394600,VIC,1.29,700.0,2022,4,11
1601,2022-11-15,55900,57500,55000,57000,1583400,VIC,3.64,2000.0,2022,4,11
1602,2022-11-16,56900,60900,56100,60400,2249500,VIC,5.96,3400.0,2022,4,11
1603,2022-11-17,62400,64599,60500,64599,4785400,VIC,6.95,4199.0,2022,4,11
1604,2022-11-18,66900,66900,63100,65600,1693400,VIC,1.55,1001.0,2022,4,11
1605,2022-11-21,66000,66700,63600,64000,1198200,VIC,-2.44,-1600.0,2022,4,11
1606,2022-11-22,64000,65900,61000,61000,1466300,VIC,-4.69,-3000.0,2022,4,11
1607,2022-11-23,60100,62600,59700,59700,998800,VIC,-2.13,-1300.0,2022,4,11
1608,2022-11-24,60000,62100,60000,61000,1141700,VIC,2.18,1300.0,2022,4,11
1609,2022-11-25,63000,65000,62600,65000,2290900,VIC,6.56,4000.0,2022,4,11
1610,2022-11-28,66500,67100,65000,65000,3249900,VIC,0.0,0.0,2022,4,11
1611,2022-11-29,65000,69400,64200,69400,3559000,VIC,6.77,4400.0,2022,4,11
1612,2022-11-30,69500,70200,68000,69600,3225000,VIC,0.29,200.0,2022,4,11
1613,2022-12-01,69400,69600,66000,66000,3204600,VIC,-5.17,-3600.0,2022,4,12
1614,2022-12-02,65099,68800,65099,68800,3591400,VIC,4.24,2800.0,2022,4,12
1615,2022-12-05,68800,70000,68000,68100,2301900,VIC,-1.02,-700.0,2022,4,12
1616,2022-12-06,68100,68500,65000,66600,1803300,VIC,-2.2,-1500.0,2022,4,12
1617,2022-12-07,69200,71200,68500,71200,9421500,VIC,6.91,4600.0,2022,4,12
1618,2022-12-08,74400,74500,69900,69900,5602500,VIC,-1.83,-1300.0,2022,4,12
1619,2022-12-09,70500,71700,67800,67800,2660700,VIC,-3.0,-2100.0,2022,4,12
1620,2022-12-12,67800,68000,63100,63100,2851200,VIC,-6.93,-4700.0,2022,4,12
1621,2022-12-13,63900,64000,60100,61600,2861100,VIC,-2.38,-1500.0,2022,4,12
1622,2022-12-14,62500,63700,60300,60800,2897500,VIC,-1.3,-800.0,2022,4,12
1623,2022-12-15,61100,61600,60300,60600,2311900,VIC,-0.33,-200.0,2022,4,12
1624,2022-12-16,60600,60800,58400,58400,3284600,VIC,-3.63,-2200.0,2022,4,12
1625,2022-12-19,59000,59400,56500,56500,2873600,VIC,-3.25,-1900.0,2022,4,12
1626,2022-12-20,56500,57800,55100,55900,2088300,VIC,-1.06,-600.0,2022,4,12
1627,2022-12-21,56600,57000,54800,54900,2477400,VIC,-1.79,-1000.0,2022,4,12
1628,2022-12-22,56000,57000,55000,55000,2433400,VIC,0.18,100.0,2022,4,12
1629,2022-12-23,55300,55900,53900,55100,1866300,VIC,0.18,100.0,2022,4,12
1630,2022-12-26,55000,55000,52500,52900,2367800,VIC,-3.99,-2200.0,2022,4,12
1631,2022-12-27,52900,53000,52300,52900,317300,VIC,0.0,0.0,2022,4,12
1633,2022-12-28,53500,53500,52100,53500,2089000,VIC,0.19,100.0,2022,4,12
1634,2022-12-29,53200,54000,52500,53600,2135400,VIC,0.19,100.0,2022,4,12
1635,2022-12-30,53800,53900,53000,53800,2461700,VIC,0.37,200.0,2022,4,12
1636,2023-01-03,53800,56800,53400,56800,2009300,VIC,5.58,3000.0,2023,1,1
1637,2023-01-04,56900,57100,55900,56000,1928400,VIC,-1.41,-800.0,2023,1,1
